x,y,z
-1.093 , 6.307 , 7.8
-1.068 , 6.256 , 8.054
-0.927 , 6.308 , 8.021
-0.691 , 6.405 , 7.665
-0.506 , 6.797 , 7.228
-0.237 , 7.301 , 6.639
-0.012 , 7.759 , 6.084
0.06 , 7.953 , 5.456
0.124 , 8.188 , 5.186
0.151 , 8.472 , 5.04
0.08 , 8.63 , 5.225
0.043 , 8.669 , 5.314
0.062 , 8.596 , 5.224
0.018 , 8.496 , 5.045
-0.024 , 8.372 , 5.047
-0.126 , 8.261 , 5.274
-0.167 , 8.045 , 5.596
-0.29 , 7.837 , 6.042
-0.516 , 7.359 , 6.557
-0.676 , 7.033 , 6.721
-0.546 , 6.653 , 7.767
-0.893 , 6.7 , 6.871
-0.612 , 6.278 , 8.073
-1.324 , 6.416 , 6.846
-1.096 , 6.454 , 7.529
-1.703 , 6.567 , 6.809
-1.965 , 6.914 , 6.876
-1.571 , 7.091 , 6.967
-1.977 , 7.339 , 5.884
-1.286 , 7.474 , 6.886
-1.573 , 7.858 , 5.363
-0.919 , 7.841 , 6.047
-1.109 , 7.756 , 5.112
-0.963 , 7.8 , 5.531
-1.377 , 7.802 , 5.358
-1.637 , 7.97 , 5.729
-1.886 , 7.904 , 6.172
-2.218 , 7.926 , 5.95
-2.208 , 7.702 , 6.311
-2.231 , 7.692 , 5.999
-2.05 , 7.583 , 6.054
-2.156 , 7.478 , 5.983
-2.161 , 7.421 , 6.276
-2.062 , 7.778 , 6.084
-1.909 , 7.642 , 6.399
-2.009 , 7.431 , 5.522
-1.772 , 7.905 , 5.115
-1.755 , 7.583 , 5.915
-2.136 , 7.648 , 5.565
-2.061 , 7.592 , 5.845
-2.056 , 7.326 , 6.467
-2.394 , 7.532 , 6.387
-1.856 , 7.405 , 7.386
-2.173 , 7.495 , 6.243
-1.618 , 7.37 , 6.81
-1.867 , 7.241 , 6.056
-1.752 , 7.209 , 6.462
-1.769 , 7.314 , 6.955
-2.037 , 7.526 , 6.755
-1.643 , 7.85 , 7.539
-1.989 , 8.101 , 6.252
-1.795 , 7.977 , 6.312
-2.146 , 8.33 , 5.248
-2.099 , 8.549 , 5.21
-2.331 , 8.745 , 5.232
-2.127 , 9.147 , 5.029
-2.235 , 9.01 , 5.119
-1.793 , 8.968 , 4.888
-1.96 , 9.024 , 4.031
-1.687 , 8.875 , 4.995
-1.925 , 9.001 , 4.925
-1.838 , 9.018 , 4.864
-2.1 , 8.514 , 5.024
-2.095 , 8.433 , 5.104
-2.232 , 7.931 , 5.93
-2.288 , 7.987 , 6.261
-1.945 , 7.826 , 7.093
-1.997 , 7.55 , 6.818
-1.67 , 7.393 , 6.855
-1.635 , 7.309 , 6.839
-1.667 , 7.41 , 6.492
-1.393 , 7.587 , 6.949
-1.556 , 7.729 , 6.902
-1.372 , 7.792 , 6.825
-1.216 , 7.919 , 6.703
-1.241 , 8.181 , 6.053
-1.081 , 8.484 , 6.23
-1.263 , 8.657 , 5.62
-1.102 , 8.693 , 5.369
-0.835 , 8.822 , 5.242
-0.454 , 9.062 , 5.343
-0.576 , 9.119 , 5.164
-0.725 , 9.159 , 5.352
-1.301 , 9.257 , 4.624
-1.688 , 8.661 , 4.982
-2.258 , 8.464 , 4.278
-2.346 , 8.498 , 5.072
-2.512 , 8.401 , 6.305
-2.161 , 8.254 , 7.026
-1.923 , 7.925 , 7.225
-1.433 , 7.759 , 7.474
-0.935 , 7.75 , 7.464
-0.727 , 7.702 , 6.786
-0.551 , 7.69 , 6.24
