x=0.2571106 , y=9.794006 , z=-0.8636322
x=1.1795654 , y=9.662018 , z=0.2244873
x=1.6640015 , y=9.29631 , z=-1.5063629
x=0.15419006 , y=9.210861 , z=-2.9120636
x=-1.7592926 , y=9.242813 , z=-1.4185638
x=-0.9674835 , y=10.06192 , z=0.27365112
x=1.2466888 , y=10.8832855 , z=-0.96951294
x=1.3483124 , y=10.391373 , z=-3.3212585
x=0.26564026 , y=9.934906 , z=-2.458847
x=0.00730896 , y=9.536148 , z=-1.8223572
x=-0.66493225 , y=9.072159 , z=-1.661499
x=-1.7652283 , y=8.650894 , z=-0.19186401
x=-0.93377686 , y=8.844437 , z=0.9439392
x=1.2424011 , y=9.553711 , z=0.33068848
x=1.6775513 , y=9.794556 , z=-1.4254913
x=0.3831482 , y=9.91835 , z=-2.1339111
x=-0.4749756 , y=9.982712 , z=-2.5506897
x=-0.9288025 , y=9.874405 , z=-2.1410828
x=-1.4542999 , y=9.253342 , z=-1.6069031
x=-0.73916626 , y=9.158157 , z=-1.0341797
x=1.0200653 , y=9.967178 , z=-0.5849457
x=1.2740784 , y=10.474258 , z=-0.973999
x=-0.22929382 , y=10.297546 , z=-1.6340332
x=-0.7698822 , y=9.7378845 , z=-1.905014
x=0.21038818 , y=9.283157 , z=-0.6521454
x=0.5122528 , y=8.648132 , z=0.31578064
x=-0.2607422 , y=8.523529 , z=0.2325592
x=-0.38053894 , y=9.408264 , z=-0.57977295
x=0.08224487 , y=10.412186 , z=-1.4933319
x=-0.23016357 , y=10.2643585 , z=-2.8393097
x=-0.6183624 , y=9.392624 , z=-3.0091705
x=-0.020645142 , y=8.74324 , z=-1.4265747
x=0.44578552 , y=8.278931 , z=0.3639984
x=-0.016220093 , y=8.138123 , z=0.88098145
x=-0.44093323 , y=8.891983 , z=0.015609741
x=-0.07017517 , y=10.056473 , z=-1.8539734
x=0.4380188 , y=11.184616 , z=-2.3927307
x=0.30854797 , y=11.065353 , z=-3.2035828
x=-0.051956177 , y=10.278564 , z=-2.9084778
x=-0.25312805 , y=9.55748 , z=-0.72880554
x=-0.46665955 , y=9.02597 , z=0.8890686
x=-0.5174713 , y=8.734329 , z=0.1179657
x=-0.07316589 , y=9.320099 , z=-0.736145
x=0.46191406 , y=10.165802 , z=-1.3134766
x=0.42279053 , y=10.276581 , z=-2.3070068
x=0.009292603 , y=9.981873 , z=-2.050949
x=-0.26774597 , y=9.31543 , z=-0.86701965
x=-0.27902222 , y=8.715744 , z=0.62028503
x=-0.20854187 , y=8.636612 , z=0.8213043
x=-0.16195679 , y=9.116531 , z=-0.45251465
x=0.028121948 , y=10.023972 , z=-1.8078156
x=0.32739258 , y=10.862076 , z=-2.27948
x=0.15774536 , y=10.584976 , z=-2.819748
x=-0.27894592 , y=9.585251 , z=-2.5289917
x=-0.30226135 , y=8.426041 , z=-1.5011597
x=0.01725769 , y=8.351379 , z=0.89356995
x=0.0015411377 , y=8.682922 , z=0.6405029
x=-0.27861023 , y=9.305084 , z=-1.4368439
x=-0.21203613 , y=10.123398 , z=-1.8730621
x=0.3269806 , y=10.294968 , z=-1.6414642
x=0.57318115 , y=9.856857 , z=-1.7670898
x=0.054367065 , y=9.365387 , z=-1.0516968
x=-0.55049133 , y=9.144424 , z=-0.10305786
x=-0.50619507 , y=9.347916 , z=-0.4731903
x=-0.0904541 , y=9.842972 , z=-2.2501068
x=0.22207642 , y=10.439148 , z=-3.390808
x=0.40438843 , y=10.772949 , z=-2.886444
x=0.3164978 , y=10.554123 , z=-1.4876099
x=-0.08709717 , y=9.771927 , z=-0.38832092
x=-0.14355469 , y=8.937439 , z=0.23048401
x=0.43540955 , y=8.771622 , z=0.7472534
x=0.7447052 , y=9.12886 , z=0.21057129
x=0.18003845 , y=9.710159 , z=-0.8483734
x=-0.3764801 , y=9.601135 , z=-2.922409
x=0.035202026 , y=9.982727 , z=-2.2010345
